run_dir,task,variant,correction,label,seed,wandb_url,status,refresh_count,final_step,final_accuracy,final_loss,final_f1,wall_clock_sec,fallback_rate_last,p_mean_last,weight_mean_last,weight_max_last,weight_clipped_frac_last
runs/full_sweep_20260627_1504/mrpc_label_aware_lgd_full_seed0_20260627_150414,mrpc,label_aware_lgd,full,label-aware LGD corrected,0,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/gjefx462,finished,3,345,0.4877450980392157,1.0779958379034902,0.5562632696390658,74.25485587120056,0.0,0.002146782337902642,0.26444289088249207,1.0963501930236816,0.0
runs/full_sweep_20260627_1504/mrpc_label_aware_lgd_full_seed1_20260627_150624,mrpc,label_aware_lgd,full,label-aware LGD corrected,1,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/w616x8jr,finished,3,345,0.8137254901960784,0.49384408955480535,0.8741721854304636,114.13035130500793,1.0,0.0002726281352235551,1.0000001192092896,1.0000001192092896,0.0
runs/full_sweep_20260627_1504/mrpc_label_aware_lgd_full_seed2_20260627_150924,mrpc,label_aware_lgd,full,label-aware LGD corrected,2,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/nz81bxf3,finished,3,345,0.7696078431372549,0.4792119171105179,0.8192307692307692,116.761549949646,1.0,0.0002726281352235551,1.0000001192092896,1.0000001192092896,0.0
runs/full_sweep_20260627_1504/mrpc_label_aware_lgd_none_seed0_20260627_150218,mrpc,label_aware_lgd,none,label-aware LGD,0,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/8u0ov8jc,finished,3,345,0.6838235294117647,1.2205473815693575,0.7981220657276995,116.30981945991516,0.0,0.0010994489803643772,1.0,1.0,0.0
runs/full_sweep_20260627_1504/mrpc_label_aware_lgd_none_seed1_20260627_150558,mrpc,label_aware_lgd,none,label-aware LGD,1,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/4sfu7yr9,finished,3,345,0.3161764705882353,5.319012847601199,0.0,74.06932282447815,0.0,0.0024372835841957145,1.0,1.0,0.0
runs/full_sweep_20260627_1504/mrpc_label_aware_lgd_none_seed2_20260627_150854,mrpc,label_aware_lgd,none,label-aware LGD,2,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/k637xtwu,finished,3,345,0.7230392156862745,0.5699743920681524,0.8081494057724957,113.33410716056824,1.0,0.0002726281352235551,1.0,1.0,0.0
runs/full_sweep_20260627_1504/mrpc_paper_lgd_full_seed0_20260627_150218,mrpc,paper_lgd,full,paper LGD full,0,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/wf19yec4,finished,3,345,0.7328431372549019,0.6301155417573219,0.8117443868739206,113.59244012832642,0.0,0.0008353423016329001,1.3146086931228638,11.657023429870605,0.0
runs/full_sweep_20260627_1504/mrpc_paper_lgd_full_seed1_20260627_150458,mrpc,paper_lgd,full,paper LGD full,1,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/bslvfqwb,finished,3,345,0.7181372549019608,0.7346673666262159,0.8013816925734024,117.79125452041626,0.0,0.003127007104237381,0.47591325640678406,1.5902019739151,0.0
runs/full_sweep_20260627_1504/mrpc_paper_lgd_full_seed2_20260627_150744,mrpc,paper_lgd,full,paper LGD full,2,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/e1y906ay,finished,3,345,0.7205882352941176,0.8613216269250009,0.8207547169811321,73.24078249931335,0.0,0.001364818586403074,0.3512170910835266,1.091695785522461,0.0
runs/full_sweep_20260627_1504/mrpc_paper_lgd_none_seed0_20260627_150218,mrpc,paper_lgd,none,paper LGD,0,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/tadr1yby,finished,3,345,0.7009803921568627,1.0410583369872148,0.7986798679867987,73.18792462348938,0.0,0.0021011331302656145,1.0,1.0,0.0
