epoch,train_size,steps_in_epoch,batch_size,draw_count,unique_seen_count,never_seen_count,never_seen_frac,repeated_sample_count,repeated_sample_frac,duplicate_draw_count,duplicate_draw_frac_of_draws,max_times_seen,task,variant,seed,fallback_draw_count,fallback_draw_frac
0,3668,115,32,3680,2338,1330,0.36259541984732824,963,0.26254089422028354,1342,0.36467391304347824,7,mrpc,random,0,0,0.0
1,3668,115,32,3680,2319,1349,0.3677753544165758,976,0.26608505997818976,1361,0.36983695652173915,6,mrpc,random,0,0,0.0
2,3668,115,32,3680,2278,1390,0.37895310796074155,978,0.26663031624863687,1402,0.3809782608695652,6,mrpc,random,0,0,0.0
0,3668,115,32,3680,3,3665,0.9991821155943293,3,0.0008178844056706652,3677,0.9991847826086957,1256,mrpc,paper_lgd,0,0,0.0
1,3668,115,32,3680,3,3665,0.9991821155943293,3,0.0008178844056706652,3677,0.9991847826086957,1239,mrpc,paper_lgd,0,0,0.0
2,3668,115,32,3680,3,3665,0.9991821155943293,3,0.0008178844056706652,3677,0.9991847826086957,1234,mrpc,paper_lgd,0,0,0.0
0,3668,115,32,3680,3,3665,0.9991821155943293,3,0.0008178844056706652,3677,0.9991847826086957,1256,mrpc,label_aware_lgd,0,0,0.0
1,3668,115,32,3680,3,3665,0.9991821155943293,3,0.0008178844056706652,3677,0.9991847826086957,1239,mrpc,label_aware_lgd,0,0,0.0
2,3668,115,32,3680,3,3665,0.9991821155943293,3,0.0008178844056706652,3677,0.9991847826086957,1234,mrpc,label_aware_lgd,0,0,0.0
0,2490,78,32,2496,1581,909,0.3650602409638554,650,0.26104417670682734,915,0.36658653846153844,6,rte,random,0,0,0.0
1,2490,78,32,2496,1579,911,0.36586345381526103,660,0.26506024096385544,917,0.36738782051282054,6,rte,random,0,0,0.0
2,2490,78,32,2496,1573,917,0.3682730923694779,649,0.2606425702811245,923,0.3697916666666667,7,rte,random,0,0,0.0
0,2490,78,32,2496,14,2476,0.9943775100401606,14,0.005622489959839358,2482,0.9943910256410257,497,rte,paper_lgd,0,0,0.0
1,2490,78,32,2496,14,2476,0.9943775100401606,14,0.005622489959839358,2482,0.9943910256410257,515,rte,paper_lgd,0,0,0.0
2,2490,78,32,2496,14,2476,0.9943775100401606,14,0.005622489959839358,2482,0.9943910256410257,511,rte,paper_lgd,0,0,0.0
0,2490,78,32,2496,6,2484,0.9975903614457832,6,0.0024096385542168677,2490,0.9975961538461539,508,rte,label_aware_lgd,0,0,0.0
1,2490,78,32,2496,6,2484,0.9975903614457832,6,0.0024096385542168677,2490,0.9975961538461539,526,rte,label_aware_lgd,0,0,0.0
2,2490,78,32,2496,6,2484,0.9975903614457832,6,0.0024096385542168677,2490,0.9975961538461539,516,rte,label_aware_lgd,0,0,0.0
