global_step,epoch,train/loss,time/wall_clock_sec,time/step_time_sec,sampler/query_norm,correction/weight_mean,correction/weight_min,correction/weight_max,correction/weight_clipped_frac,lsh/refresh_count,lsh/refresh_time_sec,sampler/p_mean,sampler/p_min,sampler/p_max,sampler/cp_mean,sampler/cpK_mean,sampler/bucket_size_mean,sampler/bucket_size_max,sampler/attempts_mean,sampler/fallback_rate,sampler/probability_clamped_frac
1,0.0,0.8350830078125,0.6074423789978027,0.6074409484863281,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
2,0.01282051282051282,0.8209171891212463,0.7047171592712402,0.08878254890441895,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
3,0.02564102564102564,0.7473846077919006,0.9318218231201172,0.09558916091918945,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
4,0.038461538461538464,0.795171320438385,1.1624534130096436,0.09501886367797852,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
5,0.05128205128205128,0.7271586656570435,1.3919978141784668,0.09267354011535645,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
6,0.0641025641025641,0.6395747661590576,1.632359266281128,0.1022193431854248,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
7,0.07692307692307693,0.6793749332427979,1.865044355392456,0.1001119613647461,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
8,0.08974358974358974,0.6734155416488647,2.1046142578125,0.10746574401855469,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
9,0.10256410256410256,0.6532802581787109,2.3295722007751465,0.09626293182373047,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
10,0.11538461538461539,0.6624966263771057,2.5609073638916016,0.09711480140686035,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
11,0.1282051282051282,0.6596230268478394,2.8043837547302246,0.10806751251220703,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
12,0.14102564102564102,0.6579244136810303,3.026186466217041,0.09870553016662598,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
13,0.15384615384615385,0.6932961940765381,3.2567734718322754,0.09583282470703125,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
14,0.16666666666666666,0.6610643267631531,3.493346691131592,0.10109853744506836,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
15,0.1794871794871795,0.6860295534133911,3.7206954956054688,0.09668755531311035,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
16,0.19230769230769232,0.6580748558044434,3.9510090351104736,0.09541845321655273,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
17,0.20512820512820512,0.6932781934738159,4.181973457336426,0.09591126441955566,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
