global_step,epoch,train/loss,time/wall_clock_sec,time/step_time_sec,sampler/query_norm,correction/weight_mean,correction/weight_min,correction/weight_max,correction/weight_clipped_frac,lsh/refresh_count,lsh/refresh_time_sec,sampler/p_mean,sampler/p_min,sampler/p_max,sampler/cp_mean,sampler/cpK_mean,sampler/bucket_size_mean,sampler/bucket_size_max,sampler/attempts_mean,sampler/fallback_rate,sampler/probability_clamped_frac
1,0.0,0.8350830078125,0.6598877906799316,0.6598870754241943,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
2,0.01282051282051282,0.8209171891212463,0.759568452835083,0.0910942554473877,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
3,0.02564102564102564,0.7473846077919006,0.9939079284667969,0.09203743934631348,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
4,0.038461538461538464,0.795171320438385,1.2304339408874512,0.10037350654602051,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
5,0.05128205128205128,0.7271586656570435,1.4566664695739746,0.09885001182556152,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
6,0.0641025641025641,0.6395747661590576,1.6867022514343262,0.09770393371582031,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
7,0.07692307692307693,0.6793749332427979,1.9241273403167725,0.1059408187866211,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
8,0.08974358974358974,0.6734155416488647,2.157078266143799,0.10933375358581543,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
9,0.10256410256410256,0.6532802581787109,2.3892412185668945,0.11162781715393066,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
10,0.11538461538461539,0.6624966263771057,2.6226677894592285,0.1112973690032959,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
11,0.1282051282051282,0.6596230268478394,2.855337619781494,0.11234188079833984,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
12,0.14102564102564102,0.6579244136810303,3.0672004222869873,0.09441542625427246,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
13,0.15384615384615385,0.6932961940765381,3.311552047729492,0.1092216968536377,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
14,0.16666666666666666,0.6610643267631531,3.5446224212646484,0.11281061172485352,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
15,0.1794871794871795,0.6860295534133911,3.757049798965454,0.09470582008361816,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
16,0.19230769230769232,0.6580748558044434,3.9854702949523926,0.0945577621459961,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
17,0.20512820512820512,0.6932781934738159,4.217257261276245,0.09469985961914062,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
18,0.21794871794871795,0.6448046565055847,4.449088096618652,0.0967569351196289,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
19,0.23076923076923078,0.6221397519111633,4.691760778427124,0.11023688316345215,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
20,0.24358974358974358,0.6532127261161804,4.9105446338653564,0.09820199012756348,0.0,1.0,1.0,1.0,0.0,0,0.0,0.00040160642570281126,0.00040160642570281126,0.00040160642570281126,0.0,0.0,2490.0,2490.0,1.0,0.0,0.0
