global_step,epoch,sample/unique_count,sample/duplicate_count,sample/duplicate_frac,sample/label0_count,sample/label1_count,sample/fallback_count,sample/mean_p,sample/min_p,sample/max_p,sample/mean_bucket_size,sample/resample_count_sum,sampler/unique_count_batch,sampler/duplicate_count_batch,sampler/duplicate_frac_batch,sampler/label0_count_batch,sampler/label1_count_batch
1,0.0,32,0,0.0,14,18,0,0.006405912608903061,5.686346450693346e-05,0.1288053597981779,550.15625,0,32,0,0.0,14,18
2,0.008695652173913044,32,0,0.0,14,18,0,0.002905010027975798,5.6001076827989135e-05,0.03374975324795388,645.5,0,32,0,0.0,14,18
3,0.017391304347826087,32,0,0.0,12,20,0,0.003522715390773497,6.413148665326009e-05,0.03001321659396396,608.75,0,32,0,0.0,12,20
4,0.02608695652173913,32,0,0.0,16,16,0,0.014311851492237935,6.440205833309207e-05,0.12883055143193345,501.53125,0,32,0,0.0,16,16
5,0.034782608695652174,32,0,0.0,8,24,0,0.006841257889335069,5.6375189287562365e-05,0.1288385111731295,615.0625,0,32,0,0.0,8,24
6,0.043478260869565216,32,0,0.0,15,17,0,0.003188193897176677,5.602285767980988e-05,0.030036028225681497,502.40625,0,32,0,0.0,15,17
7,0.05217391304347826,32,0,0.0,9,23,0,0.0017313610859841326,5.684757025358045e-05,0.01613413661251486,595.34375,0,32,0,0.0,9,23
8,0.06086956521739131,32,0,0.0,17,15,0,0.009818111489113313,7.022112310854897e-05,0.1200128615426949,341.78125,0,32,0,0.0,17,15
9,0.06956521739130435,32,0,0.0,9,23,0,0.0055378775195497765,5.4441125756169065e-05,0.12886909262688942,620.84375,0,32,0,0.0,9,23
10,0.0782608695652174,32,0,0.0,10,22,0,0.006860321801255362,6.336861315543415e-05,0.1288760631574446,526.03125,0,32,0,0.0,10,22
11,0.08695652173913043,32,0,0.0,13,19,0,0.007200359337860213,5.57963682958644e-05,0.12888271122381062,577.53125,0,32,0,0.0,13,19
12,0.09565217391304348,32,0,0.0,12,20,0,0.0032257062821916746,5.663015528297566e-05,0.030030831627464987,620.1875,0,32,0,0.0,12,20
13,0.10434782608695652,32,0,0.0,11,21,0,0.003907865000398551,6.292358299967887e-05,0.030030143506034702,768.875,0,32,0,0.0,11,21
14,0.11304347826086956,32,0,0.0,12,20,0,0.0028819320984482034,6.329473407126888e-05,0.02701997578250833,533.21875,0,32,0,0.0,12,20
15,0.12173913043478261,32,0,0.0,9,23,0,0.0062764886495001605,5.8046022338256326e-05,0.12890295142027458,760.96875,0,32,0,0.0,9,23
16,0.13043478260869565,32,0,0.0,16,16,0,0.006956346633927526,5.682433156772983e-05,0.05882229675342953,482.5,0,32,0,0.0,16,16
17,0.1391304347826087,32,0,0.0,14,18,0,0.00886647844211045,5.604460338110607e-05,0.12890948375603367,711.03125,0,32,0,0.0,14,18
18,0.14782608695652175,32,0,0.0,13,19,0,0.005538842488777157,5.8013543266550976e-05,0.12891208676572372,724.96875,0,32,0,0.0,13,19
19,0.1565217391304348,32,0,0.0,17,15,0,0.0015265869705677318,5.876004194913724e-05,0.016130905291643915,663.1875,0,32,0,0.0,17,15
20,0.16521739130434782,32,0,0.0,19,13,0,0.0047476836271537716,6.082854333201535e-05,0.030820046657782263,450.40625,0,32,0,0.0,19,13
21,0.17391304347826086,32,0,0.0,10,22,0,0.006799033171880522,4.9130475921951106e-05,0.1289171044916299,665.0,0,32,0,0.0,10,22
22,0.1826086956521739,32,0,0.0,15,17,0,0.0039678459212666795,5.906868021686366e-05,0.03312278333771974,656.53125,0,32,0,0.0,15,17
23,0.19130434782608696,32,0,0.0,9,23,0,0.006297224238405027,5.884843417647742e-05,0.12891804558528183,609.8125,0,32,0,0.0,9,23
24,0.2,32,0,0.0,11,21,0,0.005501056066261374,5.7705342805776804e-05,0.12891798475226687,643.625,0,32,0,0.0,11,21
25,0.20869565217391303,32,0,0.0,12,20,0,0.012061124479759976,6.522590258352047e-05,0.12891778500220472,584.375,0,32,0,0.0,12,20
26,0.21739130434782608,32,0,0.0,14,18,0,0.007521057284763218,6.742541265947888e-05,0.12891702277604694,511.21875,0,32,0,0.0,14,18
27,0.22608695652173913,32,0,0.0,14,18,0,0.006088413976880924,5.632753210168132e-05,0.12891596910213465,813.6875,0,32,0,0.0,14,18
28,0.23478260869565218,32,0,0.0,12,20,0,0.005709918245931762,6.604083728093267e-05,0.1289147824207706,692.625,0,32,0,0.0,12,20
29,0.24347826086956523,32,0,0.0,9,23,0,0.0023414229311631406,5.923491694797674e-05,0.01893004565668661,629.1875,0,32,0,0.0,9,23
30,0.25217391304347825,32,0,0.0,10,22,0,0.006416222097729715,5.641454696782511e-05,0.12891200278247122,702.78125,0,32,0,0.0,10,22
31,0.2608695652173913,32,0,0.0,8,24,0,0.006684613668300867,6.412381255847834e-05,0.12891042390420088,575.4375,0,32,0,0.0,8,24
32,0.26956521739130435,32,0,0.0,17,15,0,0.002696802144793607,5.637325648773068e-05,0.02918514124147239,632.8125,0,32,0,0.0,17,15
33,0.2782608695652174,32,0,0.0,12,20,0,0.00775779981351307,5.6577758055778574e-05,0.12890605686209833,635.59375,0,32,0,0.0,12,20
34,0.28695652173913044,32,0,0.0,13,19,0,0.004402924621406108,5.5764378244312624e-05,0.03921560908756107,798.5625,0,32,0,0.0,13,19
35,0.2956521739130435,32,0,0.0,11,21,0,0.0012871826702029522,5.005769177532378e-05,0.016954572781644407,763.625,0,32,0,0.0,11,21
36,0.30434782608695654,32,0,0.0,14,18,0,0.011616755306214824,5.758331516497184e-05,0.12889805526568507,490.71875,0,32,0,0.0,14,18
37,0.3130434782608696,32,0,0.0,11,21,0,0.0020289155209390662,5.604894126587182e-05,0.03373758525905166,704.96875,0,32,0,0.0,11,21
38,0.3217391304347826,32,0,0.0,12,20,0,0.006922435298818543,4.942860574684348e-05,0.12889342432532633,440.0625,0,32,0,0.0,12,20
39,0.33043478260869563,32,0,0.0,15,17,0,0.007330515728915578,6.396690197486924e-05,0.12889148519213936,555.5,0,32,0,0.0,15,17
40,0.3391304347826087,32,0,0.0,12,20,0,0.0055779220332053125,6.546283658484584e-05,0.03922257114851321,444.0625,0,32,0,0.0,12,20
41,0.34782608695652173,32,0,0.0,8,24,0,0.007429323386315416,6.432561452861569e-05,0.12888628521686032,403.03125,0,32,0,0.0,8,24
42,0.3565217391304348,32,0,0.0,14,18,0,0.0023570294936876646,5.597119633400068e-05,0.02642429467565903,616.3125,0,32,0,0.0,14,18
43,0.3652173913043478,32,0,0.0,16,16,0,0.013089616302719223,5.85123812900349e-05,0.12887918677117802,397.25,0,32,0,0.0,16,16
44,0.3739130434782609,32,0,0.0,15,17,0,0.003916356826758088,6.279005088123798e-05,0.03311692457514707,369.125,0,32,0,0.0,15,17
45,0.3826086956521739,32,0,0.0,9,23,0,0.0034041795103682123,6.145050290842281e-05,0.029423937161934678,550.0,0,32,0,0.0,9,23
46,0.391304347826087,32,0,0.0,11,21,0,0.0018121706310487641,6.849695032978919e-05,0.03003377848506442,622.78125,0,32,0,0.0,11,21
47,0.4,32,0,0.0,13,19,0,0.006798171320789524,5.5703685494109926e-05,0.12886173249858016,642.90625,0,32,0,0.0,13,19
48,0.40869565217391307,32,0,0.0,10,22,0,0.0037798295226584245,5.6770908972636994e-05,0.030002924177837363,657.84375,0,32,0,0.0,10,22
49,0.41739130434782606,32,0,0.0,10,22,0,0.005293745332041917,6.27570054550451e-05,0.1288524734000751,891.9375,0,32,0,0.0,10,22
50,0.4260869565217391,32,0,0.0,10,22,0,0.005181366712036298,5.773350018879382e-05,0.12884855378077792,729.0625,0,32,0,0.0,10,22
51,0.43478260869565216,32,0,0.0,11,21,0,0.005287566293103511,5.735478871233538e-05,0.04414979549308369,656.1875,0,32,0,0.0,11,21
52,0.4434782608695652,32,0,0.0,13,19,0,0.002677029126172662,6.514993876503516e-05,0.03373757612611461,655.15625,0,32,0,0.0,13,19
53,0.45217391304347826,32,0,0.0,15,17,0,0.00792461119569066,7.714255163928171e-05,0.12883477879775504,385.65625,0,32,0,0.0,15,17
54,0.4608695652173913,32,0,0.0,13,19,0,0.006557461786411907,6.654133381329535e-05,0.12883014712351348,700.59375,0,32,0,0.0,13,19
55,0.46956521739130436,32,0,0.0,12,20,0,0.004797263084726623,5.703928468884883e-05,0.043903322967382453,668.3125,0,32,0,0.0,12,20
56,0.4782608695652174,32,0,0.0,17,15,0,0.006135468141167659,5.635232610673445e-05,0.12882186602277473,590.4375,0,32,0,0.0,17,15
57,0.48695652173913045,32,0,0.0,17,15,0,0.0070127767865431675,5.617628556275581e-05,0.1288181779857315,572.875,0,32,0,0.0,17,15
58,0.4956521739130435,32,0,0.0,9,23,0,0.007318317271335002,5.525194795710232e-05,0.1288137735791722,630.3125,0,32,0,0.0,9,23
59,0.5043478260869565,32,0,0.0,8,24,0,0.006369318649429238,6.466776648894265e-05,0.12880987562577387,580.375,0,32,0,0.0,8,24
60,0.5130434782608696,32,0,0.0,15,17,0,0.006260022436115195,7.499487853245164e-05,0.12880697365094787,515.09375,0,32,0,0.0,15,17
61,0.5217391304347826,32,0,0.0,12,20,0,0.0058126135648820555,5.652056064431775e-05,0.1288035095783695,705.46875,0,32,0,0.0,12,20
62,0.5304347826086957,32,0,0.0,14,18,0,0.006006585618890301,6.275259926664481e-05,0.1288000696146303,452.53125,0,32,0,0.0,14,18
63,0.5391304347826087,32,0,0.0,12,20,0,0.005910775489029235,5.556741008885609e-05,0.1287975121402353,498.90625,0,32,0,0.0,12,20
64,0.5478260869565217,32,0,0.0,15,17,0,0.007800617790783041,6.146122414933912e-05,0.12879579447310888,499.9375,0,32,0,0.0,15,17
65,0.5565217391304348,32,0,0.0,8,24,0,0.0037586918933277865,6.541564286274222e-05,0.04389667482174498,569.28125,0,32,0,0.0,8,24
66,0.5652173913043478,32,0,0.0,12,20,0,0.011752204524409003,5.6264014456648825e-05,0.12879204206392633,418.46875,0,32,0,0.0,12,20
67,0.5739130434782609,32,0,0.0,13,19,0,0.006929243266021949,6.409405102873949e-05,0.1287897972774611,578.875,0,32,0,0.0,13,19
68,0.5826086956521739,32,0,0.0,12,20,0,0.0024740250353137185,6.253699372530479e-05,0.03004249055032887,541.1875,0,32,0,0.0,12,20
69,0.591304347826087,32,0,0.0,10,22,0,0.008200138554524224,6.939496333897259e-05,0.12878386786544674,588.40625,0,32,0,0.0,10,22
70,0.6,32,0,0.0,9,23,0,0.005707325594170277,5.689162178399111e-05,0.12878061924278278,613.4375,0,32,0,0.0,9,23
71,0.6086956521739131,32,0,0.0,16,16,0,0.013069891638113607,6.418210366471324e-05,0.12877720192019637,556.375,0,32,0,0.0,16,16
72,0.6173913043478261,32,0,0.0,21,11,0,0.006001529006188659,7.720722374204995e-05,0.09774411349130882,381.375,0,32,0,0.0,21,11
73,0.6260869565217392,32,0,0.0,17,15,0,0.008052274698047156,6.61473373988301e-05,0.12877218560292758,608.28125,0,32,0,0.0,17,15
74,0.6347826086956522,32,0,0.0,18,14,0,0.0037013816929540675,4.963132923788812e-05,0.03291835592769815,492.4375,0,32,0,0.0,18,14
75,0.6434782608695652,32,0,0.0,14,18,0,0.005832421477477084,6.426296047151206e-05,0.12876892311684773,653.40625,0,32,0,0.0,14,18
76,0.6521739130434783,32,0,0.0,12,20,0,0.004328360766094002,5.731107880839293e-05,0.03374257888873926,626.6875,0,32,0,0.0,12,20
77,0.6608695652173913,32,0,0.0,12,20,0,0.005567084746213409,5.725180551315056e-05,0.12876356680907614,683.0625,0,32,0,0.0,12,20
78,0.6695652173913044,32,0,0.0,10,22,0,0.0038538839165609233,5.61957391980268e-05,0.044133952075666394,557.5625,0,32,0,0.0,10,22
79,0.6782608695652174,32,0,0.0,7,25,0,0.0017971311590853887,5.672748173665822e-05,0.029466992849263587,766.3125,0,32,0,0.0,7,25
80,0.6869565217391305,32,0,0.0,12,20,0,0.006482202165587129,5.719274771193895e-05,0.1287507931119089,482.46875,0,32,0,0.0,12,20
81,0.6956521739130435,32,0,0.0,14,18,0,0.008515017540804404,7.17642447498862e-05,0.12874634354290151,515.8125,0,32,0,0.0,14,18
82,0.7043478260869566,32,0,0.0,16,16,0,0.0028137259529581004,5.651903477042704e-05,0.03431988956798136,660.03125,0,32,0,0.0,16,16
83,0.7130434782608696,32,0,0.0,10,22,0,0.006384349418666162,7.18046800261268e-05,0.12873673196628865,560.15625,0,32,0,0.0,10,22
84,0.7217391304347827,32,0,0.0,14,18,0,0.006241116035753174,6.754486098315145e-05,0.12873317233837983,585.15625,0,32,0,0.0,14,18
85,0.7304347826086957,32,0,0.0,10,22,0,0.003605208553227567,5.791411249984343e-05,0.03309451473862044,595.71875,0,32,0,0.0,10,22
86,0.7391304347826086,32,0,0.0,9,23,0,0.008714607578020114,4.80851829680742e-05,0.1287254514600271,612.3125,0,32,0,0.0,9,23
87,0.7478260869565218,32,0,0.0,10,22,0,0.005796841930652757,5.752622425323672e-05,0.12872035033684887,672.71875,0,32,0,0.0,10,22
88,0.7565217391304347,32,0,0.0,18,14,0,0.006794486917290944,6.623275873652945e-05,0.12871437229160457,504.34375,0,32,0,0.0,18,14
89,0.7652173913043478,32,0,0.0,15,17,0,0.0014517967743755585,6.11157673252958e-05,0.011943930013348203,767.4375,0,32,0,0.0,15,17
90,0.7739130434782608,32,0,0.0,16,16,0,0.008053974952694054,5.6077321680305255e-05,0.12870380165059528,370.0625,0,32,0,0.0,16,16
91,0.782608695652174,32,0,0.0,11,21,0,0.005806727705643781,5.941846733533987e-05,0.12869791254757354,595.1875,0,32,0,0.0,11,21
92,0.7913043478260869,32,0,0.0,12,20,0,0.005246363064243091,4.842543837671445e-05,0.12869257251676053,546.59375,0,32,0,0.0,12,20
93,0.8,32,0,0.0,10,22,0,0.006752136157290789,5.479245685813065e-05,0.12868815763285,540.46875,0,32,0,0.0,10,22
94,0.808695652173913,32,0,0.0,9,23,0,0.002823725178027834,5.600795281397476e-05,0.03004456752524093,793.46875,0,32,0,0.0,9,23
95,0.8173913043478261,32,0,0.0,14,18,0,0.009172233606925536,6.327006945872325e-05,0.12867937328593657,648.5625,0,32,0,0.0,14,18
96,0.8260869565217391,32,0,0.0,11,21,0,0.005209531931568291,4.234837911516363e-05,0.1286755819066248,664.875,0,32,0,0.0,11,21
97,0.8347826086956521,32,0,0.0,11,21,0,0.005000088972683522,5.282538727472868e-05,0.03525687646572848,585.65625,0,32,0,0.0,11,21
98,0.8434782608695652,32,0,0.0,11,21,0,0.006026859905735104,6.240387167088896e-05,0.12866888528708198,614.03125,0,32,0,0.0,11,21
99,0.8521739130434782,32,0,0.0,12,20,0,0.008815456293860005,5.681101600390781e-05,0.1286659353579653,561.09375,0,32,0,0.0,12,20
100,0.8608695652173913,32,0,0.0,16,16,0,0.0028860623741152067,6.51892313460959e-05,0.033736453724526626,568.5625,0,32,0,0.0,16,16
101,0.8695652173913043,32,0,0.0,13,19,0,0.008752495955988522,6.232647946073832e-05,0.12865899494163804,466.21875,0,32,0,0.0,13,19
