global_step,epoch,train/loss,time/wall_clock_sec,time/step_time_sec,sampler/query_norm,correction/weight_mean,correction/weight_min,correction/weight_max,correction/weight_clipped_frac,lsh/refresh_count,lsh/refresh_time_sec,sampler/p_mean,sampler/p_min,sampler/p_max,sampler/cp_mean,sampler/cpK_mean,sampler/bucket_size_mean,sampler/bucket_size_max,sampler/attempts_mean,sampler/fallback_rate,sampler/probability_clamped_frac,sampler/unique_count,sampler/duplicate_count,sampler/duplicate_frac,sampler/resample_count_mean,sample/unique_count,sample/duplicate_count,sample/duplicate_frac,sample/label0_count,sample/label1_count,sample/fallback_count,sample/mean_p,sample/min_p,sample/max_p,sample/mean_bucket_size,sample/resample_count_sum,sampler/unique_count_batch,sampler/duplicate_count_batch,sampler/duplicate_frac_batch,sampler/label0_count_batch,sampler/label1_count_batch,sampler/coverage_so_far,lsh/initial_refresh_time_sec,lsh/representation_norm_mean,lsh/representation_norm_std,lsh/representation_cosine_mean,lsh/representation_cosine_drift_mean,lsh/representation_cosine_drift_p95,lsh/bucket_assignment_changed_frac
1,0.0,0.8017621040344238,0.4030733108520508,0.40222859382629395,0.803254246711731,1.0,1.0,1.0,0.0,1,0.0,0.005790132033950615,4.862903618041941e-05,0.034448556719302866,0.5017746329359547,0.031912541041923696,62.25,691.0,1.78125,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,15,17,0,0.005790132033950615,4.862903618041941e-05,0.034448556719302866,62.25,0,32,0,0.0,15,17,0.008724100327153763,13.656551122665405,,,,,,
2,0.008695652173913044,0.812480092048645,0.512488603591919,0.09955120086669922,0.8032132983207703,1.0,1.0,1.0,0.0,1,0.0,0.005963467571554525,4.466647663597866e-05,0.03716290666301544,0.5038209976452459,0.032594427253138734,74.03125,693.0,1.59375,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,14,18,0,0.005963467571554525,4.466647663597866e-05,0.03716290666301544,74.03125,0,32,0,0.0,14,18,0.015539803707742638,,,,,,,
3,0.017391304347826087,0.8740162253379822,0.7528789043426514,0.10152816772460938,0.8031737804412842,1.0,1.0,1.0,0.0,1,0.0,0.005385066111186927,8.025925417883962e-05,0.03446961432792659,0.5047557775144786,0.032881888410199095,84.21875,430.0,1.75,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,10,22,0,0.005385066111186927,8.025925417883962e-05,0.03446961432792659,84.21875,0,32,0,0.0,10,22,0.022355507088331516,,,,,,,
4,0.02608695652173913,0.8534613847732544,0.9913885593414307,0.10210680961608887,0.8031357526779175,1.0,1.0,1.0,0.0,1,0.0,0.006196290217497041,4.2429264950944807e-05,0.03578938482951888,0.5064669018271559,0.03345225026519587,75.8125,686.0,1.875,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,10,22,0,0.006196290217497041,4.2429264950944807e-05,0.03578938482951888,75.8125,0,32,0,0.0,10,22,0.02808069792802617,,,,,,,
5,0.034782608695652174,0.7829614877700806,1.228586196899414,0.10101819038391113,0.8030991554260254,1.0,1.0,1.0,0.0,1,0.0,0.003737149360148041,3.114455697488931e-05,0.029209160062977493,0.5044285076196372,0.03275893263372044,197.625,1123.0,1.6875,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,12,20,0,0.003737149360148041,3.114455697488931e-05,0.029209160062977493,197.625,0,32,0,0.0,12,20,0.03353326063249727,,,,,,,
6,0.043478260869565216,0.7745701670646667,1.4731850624084473,0.10577607154846191,0.8030651211738586,1.0,1.0,1.0,0.0,1,0.0,0.00490964645864596,2.9235282953100854e-05,0.03328126587378848,0.5036243985327507,0.03252075450906143,159.625,1119.0,1.65625,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,11,21,0,0.00490964645864596,2.9235282953100854e-05,0.03328126587378848,159.625,0,32,0,0.0,11,21,0.03898582333696837,,,,,,,
7,0.05217391304347826,0.7541763186454773,1.7154982089996338,0.10712599754333496,0.8030334115028381,1.0,1.0,1.0,0.0,1,0.0,0.0036503139695422916,3.0332970360505175e-05,0.033281177950047244,0.5056085477688277,0.033145050926766645,107.0,1117.0,1.71875,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,9,23,0,0.0036503139695422916,3.0332970360505175e-05,0.033281177950047244,107.0,0,32,0,0.0,9,23,0.04389312977099236,,,,,,,
8,0.06086956521739131,0.7089567184448242,1.9583005905151367,0.11061739921569824,0.8030043840408325,1.0,1.0,1.0,0.0,1,0.0,0.005098871214906446,3.078906454642752e-05,0.037187128036822864,0.5067430478958301,0.033535538725834195,161.15625,1125.0,1.71875,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,9,23,0,0.005098871214906446,3.078906454642752e-05,0.037187128036822864,161.15625,0,32,0,0.0,9,23,0.04825517993456925,,,,,,,
9,0.06956521739130435,0.6423240900039673,2.2031373977661133,0.11480259895324707,0.8029787540435791,1.0,1.0,1.0,0.0,1,0.0,0.0051283584213694215,4.742735537034801e-05,0.037191021718153104,0.5063742698284052,0.033393426118808134,137.65625,694.0,1.625,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,8,24,0,0.0051283584213694215,4.742735537034801e-05,0.037191021718153104,137.65625,0,32,0,0.0,8,24,0.05261723009814613,,,,,,,
10,0.0782608695652174,0.6499103307723999,2.443251371383667,0.11370253562927246,0.8029581904411316,1.0,1.0,1.0,0.0,1,0.0,0.005568070720982345,3.105193739710018e-05,0.03446882357198079,0.5011049689694427,0.0316996531568788,128.71875,1123.0,1.75,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,15,17,0,0.005568070720982345,3.105193739710018e-05,0.03446882357198079,128.71875,0,32,0,0.0,15,17,0.05779716466739367,,,,,,,
