global_step,epoch,sample/unique_count,sample/duplicate_count,sample/duplicate_frac,sample/label0_count,sample/label1_count,sample/fallback_count,sample/mean_p,sample/min_p,sample/max_p,sample/mean_bucket_size,sample/resample_count_sum,sampler/unique_count_batch,sampler/duplicate_count_batch,sampler/duplicate_frac_batch,sampler/label0_count_batch,sampler/label1_count_batch
1,0.0,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
2,0.008695652173913044,32,0,0.0,6,26,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,6,26
3,0.017391304347826087,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
4,0.02608695652173913,32,0,0.0,8,24,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,8,24
5,0.034782608695652174,32,0,0.0,6,26,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,6,26
6,0.043478260869565216,32,0,0.0,7,25,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,7,25
7,0.05217391304347826,32,0,0.0,9,23,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,9,23
8,0.06086956521739131,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
9,0.06956521739130435,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
10,0.0782608695652174,32,0,0.0,13,19,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,13,19
11,0.08695652173913043,32,0,0.0,9,23,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,9,23
12,0.09565217391304348,32,0,0.0,8,24,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,8,24
13,0.10434782608695652,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
14,0.11304347826086956,32,0,0.0,14,18,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,14,18
15,0.12173913043478261,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
16,0.13043478260869565,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
17,0.1391304347826087,32,0,0.0,14,18,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,14,18
18,0.14782608695652175,32,0,0.0,8,24,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,8,24
19,0.1565217391304348,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
20,0.16521739130434782,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
21,0.17391304347826086,32,0,0.0,14,18,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,14,18
22,0.1826086956521739,32,0,0.0,8,24,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,8,24
23,0.19130434782608696,32,0,0.0,9,23,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,9,23
24,0.2,32,0,0.0,7,25,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,7,25
25,0.20869565217391303,32,0,0.0,6,26,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,6,26
26,0.21739130434782608,32,0,0.0,5,27,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,5,27
27,0.22608695652173913,32,0,0.0,10,22,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,10,22
28,0.23478260869565218,32,0,0.0,10,22,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,10,22
29,0.24347826086956523,32,0,0.0,14,18,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,14,18
30,0.25217391304347825,32,0,0.0,14,18,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,14,18
31,0.2608695652173913,32,0,0.0,10,22,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,10,22
32,0.26956521739130435,32,0,0.0,13,19,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,13,19
33,0.2782608695652174,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
34,0.28695652173913044,32,0,0.0,8,24,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,8,24
35,0.2956521739130435,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
36,0.30434782608695654,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
37,0.3130434782608696,32,0,0.0,5,27,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,5,27
38,0.3217391304347826,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
39,0.33043478260869563,32,0,0.0,13,19,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,13,19
40,0.3391304347826087,32,0,0.0,13,19,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,13,19
41,0.34782608695652173,32,0,0.0,9,23,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,9,23
42,0.3565217391304348,32,0,0.0,9,23,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,9,23
43,0.3652173913043478,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
44,0.3739130434782609,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
45,0.3826086956521739,32,0,0.0,8,24,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,8,24
46,0.391304347826087,32,0,0.0,15,17,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,15,17
47,0.4,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
48,0.40869565217391307,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
49,0.41739130434782606,32,0,0.0,10,22,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,10,22
50,0.4260869565217391,32,0,0.0,6,26,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,6,26
51,0.43478260869565216,32,0,0.0,8,24,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,8,24
52,0.4434782608695652,32,0,0.0,16,16,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,16,16
53,0.45217391304347826,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
54,0.4608695652173913,32,0,0.0,15,17,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,15,17
55,0.46956521739130436,32,0,0.0,7,25,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,7,25
56,0.4782608695652174,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
57,0.48695652173913045,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
58,0.4956521739130435,32,0,0.0,10,22,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,10,22
59,0.5043478260869565,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
60,0.5130434782608696,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
61,0.5217391304347826,32,0,0.0,10,22,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,10,22
62,0.5304347826086957,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
63,0.5391304347826087,32,0,0.0,9,23,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,9,23
64,0.5478260869565217,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
65,0.5565217391304348,32,0,0.0,8,24,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,8,24
66,0.5652173913043478,32,0,0.0,6,26,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,6,26
67,0.5739130434782609,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
68,0.5826086956521739,32,0,0.0,9,23,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,9,23
69,0.591304347826087,32,0,0.0,14,18,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,14,18
70,0.6,32,0,0.0,14,18,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,14,18
71,0.6086956521739131,32,0,0.0,14,18,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,14,18
72,0.6173913043478261,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
73,0.6260869565217392,32,0,0.0,13,19,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,13,19
74,0.6347826086956522,32,0,0.0,7,25,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,7,25
75,0.6434782608695652,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
76,0.6521739130434783,32,0,0.0,13,19,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,13,19
77,0.6608695652173913,32,0,0.0,10,22,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,10,22
78,0.6695652173913044,32,0,0.0,6,26,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,6,26
79,0.6782608695652174,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20
80,0.6869565217391305,32,0,0.0,10,22,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,10,22
81,0.6956521739130435,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
82,0.7043478260869566,32,0,0.0,13,19,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,13,19
83,0.7130434782608696,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21
84,0.7217391304347827,32,0,0.0,8,24,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,8,24
85,0.7304347826086957,32,0,0.0,10,22,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,10,22
