global_step,epoch,train/loss,time/wall_clock_sec,time/step_time_sec,sampler/query_norm,correction/weight_mean,correction/weight_min,correction/weight_max,correction/weight_clipped_frac,lsh/refresh_count,lsh/refresh_time_sec,sampler/p_mean,sampler/p_min,sampler/p_max,sampler/cp_mean,sampler/cpK_mean,sampler/bucket_size_mean,sampler/bucket_size_max,sampler/attempts_mean,sampler/fallback_rate,sampler/probability_clamped_frac,sampler/unique_count,sampler/duplicate_count,sampler/duplicate_frac,sampler/resample_count_mean,sample/unique_count,sample/duplicate_count,sample/duplicate_frac,sample/label0_count,sample/label1_count,sample/fallback_count,sample/mean_p,sample/min_p,sample/max_p,sample/mean_bucket_size,sample/resample_count_sum,sampler/unique_count_batch,sampler/duplicate_count_batch,sampler/duplicate_frac_batch,sampler/label0_count_batch,sampler/label1_count_batch,sampler/coverage_so_far
1,0.0,0.8756473660469055,0.5568642616271973,0.556102991104126,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,0.0,0.0,3668.0,3668.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20,0.008724100327153763
2,0.008695652173913044,0.9905087351799011,0.6678693294525146,0.10165047645568848,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,0.0,0.0,3668.0,3668.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,6,26,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,6,26,0.017448200654307525
3,0.017391304347826087,0.8263086676597595,0.8924152851104736,0.0951993465423584,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,0.0,0.0,3668.0,3668.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20,0.026172300981461286
4,0.02608695652173913,0.858220100402832,1.1241321563720703,0.0992879867553711,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,0.0,0.0,3668.0,3668.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,8,24,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,8,24,0.03489640130861505
5,0.034782608695652174,0.8515998125076294,1.3551535606384277,0.10029101371765137,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,0.0,0.0,3668.0,3668.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,6,26,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,6,26,0.04362050163576881
6,0.043478260869565216,0.7919101715087891,1.5865557193756104,0.09893178939819336,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,0.0,0.0,3668.0,3668.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,7,25,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,7,25,0.05234460196292257
7,0.05217391304347826,0.7150139808654785,1.8226125240325928,0.1010580062866211,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,0.0,0.0,3668.0,3668.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,9,23,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,9,23,0.061068702290076333
8,0.06086956521739131,0.6841569542884827,2.054502487182617,0.10559344291687012,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,0.0,0.0,3668.0,3668.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,11,21,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,11,21,0.0697928026172301
9,0.06956521739130435,0.6772638559341431,2.284425735473633,0.1055440902709961,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,0.0,0.0,3668.0,3668.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,12,20,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,12,20,0.07851690294438386
10,0.0782608695652174,0.6789776086807251,2.5124318599700928,0.10481119155883789,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,0.0,0.0,3668.0,3668.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,13,19,0,0.0002726281352235551,0.0002726281352235551,0.0002726281352235551,3668.0,0,32,0,0.0,13,19,0.08724100327153762
